website,type,2nd type,3rd type,Source Notes (things to know?)
16wmpo.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
24newsflash.com,fake,,,
24wpn.com,fake, ,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
70news.wordpress.com,fake,,,
abcnews.com.co,fake,,,
abcnewsgo.co,fake,,,
alternativemediasyndicate.com,fake,,,http://alternativemediasyndicate.com/2017/02/02/police-raid-standing-rock-camp-destroy-tipis-burning-remains/
americannews.com,fake,,,
americanoverlook.com,fake,,,
americanpoliticnews.co,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
americanpresident.co,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
Amposts.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
anews24.org/,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
anonjekloy.tk,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
aurora-news.us,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
beforeitsnews.com,fake,conspiracy,rumor,
bighairynews.com,fake,conspiracy,,
blackinusrancenews.com,fake,unreliable,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
bostonleader.com,fake,,,
buzzfeedusa.com,fake,rumor,,
cannasos.com,fake,unreliable,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
cap-news.com,fake, ,,
cbsnews.com.co,fake,,,
channel-7-news.com,fake,,,
channel18news.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
cityworldnews.com,fake,,,
civictribune.com,fake,,,
clashdaily.com,fake,conspiracy,bias,
cnnews3.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
coed.com,fake,unreliable,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
conservativebyte.com,fake,bias,,
conservativedailypost.com,fake,unreliable,,This website is a weird mix of outright fake news and some stuff that looks more reliable. 
conservativefighters.com,fake,,,
conservativeflashnews.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
conservativeinfidel.com,fake,conspiracy,,
dailybuzzlive.com,fake,,,
dailyheadlines.com,fake, ,,
dailyheadlines.net,fake, ,,
dailyinfobox.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
dailynews10.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
dailynews5.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
dailynewsposts.info,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
dailysurge.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
dailyusaupdate.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
damnleaks.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
dcgazette.com,fake,,,
ddemocraticunderground.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
denverguardian.com,fake,,,
departed.co,fake,,,redirects to dcposts.com 
departedmedia.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
DIYhours.net,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
donaldtrumpnews.co,fake,,,
DonaldTrumpPotus45.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
downtrend.com,fake,satire,,
drudgereport.com.co,fake,,,
embols.com,fake,,,
Empirehearland.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
empireherald.com,fake,satire,,
empirenews.net,fake,satire,,
empirenews.net,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
en-vovle.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
enabon.com,fake,,,"No authors, no contact, just copy/pasted from other questionable sites"
enduringvision.com,fake,,,
enhlive.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
eutopia.buzz,fake,satire,conspiracy,
fakingnews.com,fake,satire,,fiction disclaimer on bottom of home screen 
fedsalert.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
flashnewscorner.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
floridasunpost.com,fake,satirical,,I concur: http://mashable.com/2016/10/03/fake-news-story-man-marries-granddaughter/#QvpAzP.e8Oqb 
freedomdaily.com,fake,,,
freshdailyreport.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
givemeliberity01.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
globalpoliticsnow.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
goneleft.com,fake,,,
gopthedailydose.com,fake,conspiracy,bias,
gummypost.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
healthycareandbeauty.com,fake,unreliable,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
healthyworldhouse.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
immediatesafety.org,fake,,,https://immediatesafety.org/dnc-to-hand-debbie-wasserman-schultz-over-to-isis-for-beheadding/
infostormer.com,fake,hate,conspiracy,
interestingdailynews.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
intrendtoday.com,fake,clickbait,,
itaglive.com,fake,,,
ItMakesSenseBlog.com,fake,,,
iwanttoexplore.com,fake,,,mostly turned back into car website
KMT11.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
konkonsagh.biz,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
krbcnews.com,fake,,,
ky12news.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
ladylibertynews.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
lastdeplorables.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
learnprogress.org,fake,bias,,http://www.learnprogress.org/white-house-website-sell-jewelry/
liberalplug.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
libertyalliance.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
libertyblitzkrieg.com,fake,,,
local31news.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
madworldnews.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
maganews.co,fake,,,
majorthoughts.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
mediamass.net,fake,,,
megynkelly.us,fake,,,
mentor2day.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
metropolitanworlds.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
mpidailymagazine.com,fake,bias,,
mrconservative.com,fake,satire,,
msnbc.website,fake,,,
myfreshnews.com,fake,bias,,found linked from iwanttoexplore.com
myzonetoday.com,fake,bias,,
nationonenews.com,fake,conspiracy,,
nbc.com.co,fake,,,
nephef.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
newpoliticstoday.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
news4ktla.com,fake,satire,,
newsbbc.net,fake,,,
newsbreakshere.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
newsbysquad.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
newsdaily12.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
newsexaminer.net,fake,satire, ,
newsfrompolitics.com,fake,,,
newsleak.co,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
newslo.com,fake,,,redirects to http://politicops.com/ (12/2)
newsmagazine.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
newswatch28.com,fake,,,
newswatch33.com,fake,,,
newswithviews.com,fake,conspiracy,,
now8news.com,fake,,,
onepoliticalplaza.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
onlineconservativepress.com,fake,conspiracy,bias,
openmagazines.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
pakalertpress.com,fake,,,
politicalo.com,fake, ,,
politicalsitenews.com,fake,,, 
politicalupdator.com,fake,clickbait,bias,
politicono.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
politicsusanews.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
president45donaldtrump.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
prntly.com,fake,,,
proamericanews.com,fake,,,
proudcons.com,fake,bias,,
react365.com,fake,,,fake news generator for pranking friends
realnewsrightnow.com,fake,satire,,
redcountry.us,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
redrocktribune.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
religionmind.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
rhotv.com,fake,,,
rickwells.us,fake,conspiracy,,
rilenews.com,fake,satire,,
rogue-nation3.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
rumorjournal.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
smag31.com,fake,unreliable,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
socialeverythings.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
stormcloudsgathering.com,fake,,,
subjectpolitics.com,fake,bias,,
success-street.com,fake,clickbait,,http://success-street.com/2017/01/18/wow-obama-orders-life-sized-bronze-statute-permanently-installed-white-house/
supremepatriot.com,fake,bias,,
TDTalliance.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
teaparty.org,fake,unreliable,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
thatviralfeed.net,fake,unreliable,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
the-insider.co,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
theamericanindependent.wordpress.com,fake,bias,,
thebigriddle.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
thebostontribune.com,fake,,,
thecommonsenseshow.com,fake,conspiracy,,
thecontroversialfiles.net,fake,clickbait, ,
thefreepatriot.org,fake,bias,clickbait,
theinternetpost.net,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
thelastgreatstand.com,fake,conspiracy,bias,
themoralofthestory.us,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
thenet24h.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
thenewyorkevening.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
theracketreport.com,fake,satire,,"I can't find disclaimers, but I think it's satirical "
thereporterz.com,fake,,,
therightscoop.com,fake,clickbait,,"no authors, no history, no about us, unverifiable data, etc."
thetrumpmedia.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
thetruthdivision.com,fake,bias,,
thetruthseeker.co.uk,fake,conspiracy,junksci,ex: NY orchestrated the asian tsunami in 2008!
theusa-news.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
thewashingtonpress.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
threepercenternation.com,fake,conspiracy,bias,
times.com.mx,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
tmzworldnews.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
trueamericans.me,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
truetrumpers.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
trumpvision365.com,fake,,,
undergroundnewsreport.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
undergroundworldnews.com,fake,conspiracy,bias,
unitedmediapublishing.com,fake,,,
universepolitics.com,fake,,,http://www.politifact.com/punditfact/statements/2017/jan/03/universe-politics/fake-news-michigan-gop-elector-didnt-choose-suicid/
usa-radio.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
usa-television.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
usa2016elections.com,fake,,,no longer being updated
usadailyinfo.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
usadailypolitics.com,fake,,,
usadailytime.com,fake,,,"no satire disclaimer, http://usadailytime.com/breaking-mexico-closes-borders-usa-citizens/"
usadosenews.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
usafirstinformation.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
usahitman.com,fake,conspiracy,,
usainfobox.com,fake,,,"can't find satire disclaimer, patently false"
usamagazinestudio.com,fake,,,
usanewsflash.com,fake,bias,clickbait,
usanewsinsider.com,fake,bias,clickbait,
usanewspolitics.com,fake,,,
usanewstoday.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
usaonlinepolitics.com,fake,clickbait,,no longer being updated
usaphase.com,fake,bias,,
usapolitics24hrs.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
usapoliticsnow.com,fake,bias,,
usapoliticszone.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
usasnich.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
usasupreme.com,fake, ,,
usatoday.com.co,fake,,,
